NewSimName,SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,MosquitoRatesFile,AttractivenessShape,vaccination_strategy,vaccine_prop_inf_1,vaccine_ID,vaccine_normdev_pos_1,vaccine_normdev_neg_1
sim_0000,sim_0,4527570,4527570,11315,vaccine_settings_0.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_0.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_0.csv,-1,routine,0.2509765625,1,0.3623046875,0.3623046875
sim_0001,sim_1,777232785,777232785,11315,vaccine_settings_1.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_1.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_1.csv,-1,routine,0.7509765625,1,0.8623046875,0.8623046875
sim_0002,sim_2,1163585393,1163585393,11315,vaccine_settings_2.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_2.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_2.csv,-1,routine,0.0009765625,1,0.6123046875,0.6123046875
sim_0003,sim_3,390880178,390880178,11315,vaccine_settings_3.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_3.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_3.csv,-1,routine,0.5009765625,1,0.1123046875,0.1123046875
sim_0004,sim_4,584056481,584056481,11315,vaccine_settings_4.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_4.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_4.csv,-1,routine,0.1259765625,1,0.9873046875,0.9873046875
sim_0005,sim_5,1356761696,1356761696,11315,vaccine_settings_5.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_5.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_5.csv,-1,routine,0.6259765625,1,0.4873046875,0.4873046875
sim_0006,sim_6,970409089,970409089,11315,vaccine_settings_6.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_6.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_6.csv,-1,routine,0.3759765625,1,0.2373046875,0.2373046875
sim_0007,sim_7,197703874,197703874,11315,vaccine_settings_7.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_7.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_7.csv,-1,routine,0.8759765625,1,0.7373046875,0.7373046875
sim_0012,sim_12,487468329,487468329,11315,vaccine_settings_12.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_12.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_12.csv,-1,routine,0.4384765625,1,0.6748046875,0.6748046875
sim_0013,sim_13,1260173544,1260173544,11315,vaccine_settings_13.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_13.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_13.csv,-1,routine,0.9384765625,1,0.1748046875,0.1748046875
sim_0014,sim_14,873820937,873820937,11315,vaccine_settings_14.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_14.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_14.csv,-1,routine,0.1884765625,1,0.4248046875,0.4248046875
sim_0015,sim_15,101115722,101115722,11315,vaccine_settings_15.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_15.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_15.csv,-1,routine,0.6884765625,1,0.9248046875,0.9248046875
sim_0016,sim_16,149409798,149409798,11315,vaccine_settings_16.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_16.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_16.csv,-1,routine,0.2197265625,1,0.5185546875,0.5185546875
sim_0017,sim_17,922115013,922115013,11315,vaccine_settings_17.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_17.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_17.csv,-1,routine,0.7197265625,1,0.0185546875,0.0185546875
sim_0018,sim_18,1308467620,1308467620,11315,vaccine_settings_18.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_18.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_18.csv,-1,routine,0.4697265625,1,0.2685546875,0.2685546875
sim_0019,sim_19,535762405,535762405,11315,vaccine_settings_19.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_19.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_19.csv,-1,routine,0.9697265625,1,0.7685546875,0.7685546875
sim_0020,sim_20,728938709,728938709,11315,vaccine_settings_20.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_20.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_20.csv,-1,routine,0.3447265625,1,0.1435546875,0.1435546875
sim_0021,sim_21,1501643924,1501643924,11315,vaccine_settings_21.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_21.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_21.csv,-1,routine,0.8447265625,1,0.6435546875,0.6435546875
sim_0022,sim_22,1115291317,1115291317,11315,vaccine_settings_22.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_22.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_22.csv,-1,routine,0.0947265625,1,0.8935546875,0.8935546875
sim_0023,sim_23,342586102,342586102,11315,vaccine_settings_23.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_23.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_23.csv,-1,routine,0.5947265625,1,0.3935546875,0.3935546875
