SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,MosquitoRatesFile,AttractivenessShape,vaccination_strategy,vaccine_prop_inf_1,vaccine_ID,vaccine_normdev_pos_1,vaccine_normdev_neg_1
sim_0,4528815,4528815,11315,vaccine_settings_0.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_0.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_0.csv,-1,routine,0.2509765625,1,0.3623046875,0.3623046875
sim_1,777446440,777446440,11315,vaccine_settings_1.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_1.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_1.csv,-1,routine,0.7509765625,1,0.8623046875,0.8623046875
sim_2,1163905252,1163905252,11315,vaccine_settings_2.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_2.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_2.csv,-1,routine,0.0009765625,1,0.6123046875,0.6123046875
sim_3,390987627,390987627,11315,vaccine_settings_3.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_3.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_3.csv,-1,routine,0.5009765625,1,0.1123046875,0.1123046875
sim_4,584217033,584217033,11315,vaccine_settings_4.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_4.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_4.csv,-1,routine,0.1259765625,1,0.9873046875,0.9873046875
sim_5,1357134658,1357134658,11315,vaccine_settings_5.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_5.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_5.csv,-1,routine,0.6259765625,1,0.4873046875,0.4873046875
sim_6,970675846,970675846,11315,vaccine_settings_6.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_6.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_6.csv,-1,routine,0.3759765625,1,0.2373046875,0.2373046875
sim_7,197758221,197758221,11315,vaccine_settings_7.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_7.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_7.csv,-1,routine,0.8759765625,1,0.7373046875,0.7373046875
sim_8,294372924,294372924,11315,vaccine_settings_8.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_8.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_8.csv,-1,routine,0.0634765625,1,0.0498046875,0.0498046875
sim_9,1067290549,1067290549,11315,vaccine_settings_9.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_9.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_9.csv,-1,routine,0.5634765625,1,0.5498046875,0.5498046875
sim_10,1453749362,1453749362,11315,vaccine_settings_10.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_10.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_10.csv,-1,routine,0.3134765625,1,0.7998046875,0.7998046875
sim_11,680831737,680831737,11315,vaccine_settings_11.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_11.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_11.csv,-1,routine,0.8134765625,1,0.2998046875,0.2998046875
sim_12,487602330,487602330,11315,vaccine_settings_12.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_12.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_12.csv,-1,routine,0.4384765625,1,0.6748046875,0.6748046875
