NewSimName,SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,MosquitoRatesFile,AttractivenessShape,vaccination_strategy,vaccine_prop_inf_1,vaccine_ID,vaccine_normdev_pos_1,vaccine_normdev_neg_1
sim_0000,sim_0,4527698,4527698,11315,vaccine_settings_0.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_0.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_0.csv,-1,routine,0.2509765625,1,0.3623046875,0.3623046875
sim_0001,sim_1,777254758,777254758,11315,vaccine_settings_1.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_1.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_1.csv,-1,routine,0.7509765625,1,0.8623046875,0.8623046875
sim_0002,sim_2,1163618287,1163618287,11315,vaccine_settings_2.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_2.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_2.csv,-1,routine,0.0009765625,1,0.6123046875,0.6123046875
sim_0003,sim_3,390891228,390891228,11315,vaccine_settings_3.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_3.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_3.csv,-1,routine,0.5009765625,1,0.1123046875,0.1123046875
sim_0004,sim_4,584072993,584072993,11315,vaccine_settings_4.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_4.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_4.csv,-1,routine,0.1259765625,1,0.9873046875,0.9873046875
sim_0005,sim_5,1356800052,1356800052,11315,vaccine_settings_5.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_5.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_5.csv,-1,routine,0.6259765625,1,0.4873046875,0.4873046875
sim_0006,sim_6,970436522,970436522,11315,vaccine_settings_6.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_6.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_6.csv,-1,routine,0.3759765625,1,0.2373046875,0.2373046875
sim_0007,sim_7,197709463,197709463,11315,vaccine_settings_7.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_7.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_7.csv,-1,routine,0.8759765625,1,0.7373046875,0.7373046875
sim_0008,sim_8,294300345,294300345,11315,vaccine_settings_8.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_8.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_8.csv,-1,routine,0.0634765625,1,0.0498046875,0.0498046875
sim_0009,sim_9,1067027405,1067027405,11315,vaccine_settings_9.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_9.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_9.csv,-1,routine,0.5634765625,1,0.5498046875,0.5498046875
sim_0010,sim_10,1453390935,1453390935,11315,vaccine_settings_10.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_10.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_10.csv,-1,routine,0.3134765625,1,0.7998046875,0.7998046875
sim_0011,sim_11,680663875,680663875,11315,vaccine_settings_11.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_11.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_11.csv,-1,routine,0.8134765625,1,0.2998046875,0.2998046875
sim_0016,sim_16,149414022,149414022,11315,vaccine_settings_16.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_16.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_16.csv,-1,routine,0.2197265625,1,0.5185546875,0.5185546875
sim_0017,sim_17,922141081,922141081,11315,vaccine_settings_17.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_17.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_17.csv,-1,routine,0.7197265625,1,0.0185546875,0.0185546875
sim_0018,sim_18,1308504611,1308504611,11315,vaccine_settings_18.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_18.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_18.csv,-1,routine,0.4697265625,1,0.2685546875,0.2685546875
sim_0019,sim_19,535777552,535777552,11315,vaccine_settings_19.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_19.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_19.csv,-1,routine,0.9697265625,1,0.7685546875,0.7685546875
sim_0020,sim_20,728959316,728959316,11315,vaccine_settings_20.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_20.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_20.csv,-1,routine,0.3447265625,1,0.1435546875,0.1435546875
sim_0021,sim_21,1501686376,1501686376,11315,vaccine_settings_21.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_21.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_21.csv,-1,routine,0.8447265625,1,0.6435546875,0.6435546875
sim_0022,sim_22,1115322846,1115322846,11315,vaccine_settings_22.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_22.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_22.csv,-1,routine,0.0947265625,1,0.8935546875,0.8935546875
sim_0023,sim_23,342595787,342595787,11315,vaccine_settings_23.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_23.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_23.csv,-1,routine,0.5947265625,1,0.3935546875,0.3935546875
sim_0024,sim_24,246004904,246004904,11315,vaccine_settings_24.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_24.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_24.csv,-1,routine,0.4072265625,1,0.8310546875,0.8310546875
sim_0025,sim_25,1018731964,1018731964,11315,vaccine_settings_25.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_25.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_25.csv,-1,routine,0.9072265625,1,0.3310546875,0.3310546875
sim_0026,sim_26,1405095493,1405095493,11315,vaccine_settings_26.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_26.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_26.csv,-1,routine,0.1572265625,1,0.0810546875,0.0810546875
sim_0027,sim_27,632368434,632368434,11315,vaccine_settings_27.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_27.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_27.csv,-1,routine,0.6572265625,1,0.5810546875,0.5810546875
sim_0028,sim_28,439186669,439186669,11315,vaccine_settings_28.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_28.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_28.csv,-1,routine,0.0322265625,1,0.4560546875,0.4560546875
sim_0029,sim_29,1211913729,1211913729,11315,vaccine_settings_29.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_29.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_29.csv,-1,routine,0.5322265625,1,0.9560546875,0.9560546875
sim_0030,sim_30,825550199,825550199,11315,vaccine_settings_30.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_30.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_30.csv,-1,routine,0.2822265625,1,0.7060546875,0.7060546875
sim_0031,sim_31,52823139,52823139,11315,vaccine_settings_31.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_31.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_31.csv,-1,routine,0.7822265625,1,0.2060546875,0.2060546875
sim_0032,sim_32,76970860,76970860,11315,vaccine_settings_32.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_32.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_32.csv,-1,routine,0.0166015625,1,0.7529296875,0.7529296875
sim_0033,sim_33,849697919,849697919,11315,vaccine_settings_33.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_33.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_33.csv,-1,routine,0.5166015625,1,0.2529296875,0.2529296875
sim_0034,sim_34,1236061449,1236061449,11315,vaccine_settings_34.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_34.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_34.csv,-1,routine,0.2666015625,1,0.0029296875,0.0029296875
sim_0035,sim_35,463334390,463334390,11315,vaccine_settings_35.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_35.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_35.csv,-1,routine,0.7666015625,1,0.5029296875,0.5029296875
sim_0040,sim_40,366743507,366743507,11315,vaccine_settings_40.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_40.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_40.csv,-1,routine,0.3291015625,1,0.5654296875,0.5654296875
sim_0041,sim_41,1139470567,1139470567,11315,vaccine_settings_41.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_41.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_41.csv,-1,routine,0.8291015625,1,0.0654296875,0.0654296875
