NewSimName,SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,MosquitoRatesFile,AttractivenessShape,vaccination_strategy,vaccine_prop_inf_1,vaccine_ID,vaccine_normdev_pos_1,vaccine_normdev_neg_1
sim_0008,sim_8,294265682,294265682,11315,vaccine_settings_8.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_8.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_8.csv,-1,routine,0.0634765625,1,0.0498046875,0.0498046875
sim_0009,sim_9,1066901727,1066901727,11315,vaccine_settings_9.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_9.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_9.csv,-1,routine,0.5634765625,1,0.5498046875,0.5498046875
sim_0010,sim_10,1453219749,1453219749,11315,vaccine_settings_10.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_10.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_10.csv,-1,routine,0.3134765625,1,0.7998046875,0.7998046875
sim_0011,sim_11,680583704,680583704,11315,vaccine_settings_11.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_11.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_11.csv,-1,routine,0.8134765625,1,0.2998046875,0.2998046875
sim_0020,sim_20,728873457,728873457,11315,vaccine_settings_20.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_20.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_20.csv,-1,routine,0.3447265625,1,0.1435546875,0.1435546875
sim_0021,sim_21,1501509502,1501509502,11315,vaccine_settings_21.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_21.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_21.csv,-1,routine,0.8447265625,1,0.6435546875,0.6435546875
sim_0022,sim_22,1115191480,1115191480,11315,vaccine_settings_22.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_22.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_22.csv,-1,routine,0.0947265625,1,0.8935546875,0.8935546875
sim_0023,sim_23,342555435,342555435,11315,vaccine_settings_23.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_23.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_23.csv,-1,routine,0.5947265625,1,0.3935546875,0.3935546875
sim_0024,sim_24,245975929,245975929,11315,vaccine_settings_24.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_24.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_24.csv,-1,routine,0.4072265625,1,0.8310546875,0.8310546875
sim_0025,sim_25,1018611974,1018611974,11315,vaccine_settings_25.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_25.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_25.csv,-1,routine,0.9072265625,1,0.3310546875,0.3310546875
sim_0026,sim_26,1404929996,1404929996,11315,vaccine_settings_26.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_26.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_26.csv,-1,routine,0.1572265625,1,0.0810546875,0.0810546875
sim_0027,sim_27,632293951,632293951,11315,vaccine_settings_27.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_27.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_27.csv,-1,routine,0.6572265625,1,0.5810546875,0.5810546875
sim_0028,sim_28,439134940,439134940,11315,vaccine_settings_28.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_28.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_28.csv,-1,routine,0.0322265625,1,0.4560546875,0.4560546875
sim_0029,sim_29,1211770985,1211770985,11315,vaccine_settings_29.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_29.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_29.csv,-1,routine,0.5322265625,1,0.9560546875,0.9560546875
sim_0030,sim_30,825452963,825452963,11315,vaccine_settings_30.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_30.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_30.csv,-1,routine,0.2822265625,1,0.7060546875,0.7060546875
sim_0031,sim_31,52816918,52816918,11315,vaccine_settings_31.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_31.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_31.csv,-1,routine,0.7822265625,1,0.2060546875,0.2060546875
sim_0036,sim_36,656438828,656438828,11315,vaccine_settings_36.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_36.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_36.csv,-1,routine,0.3916015625,1,0.3779296875,0.3779296875
sim_0037,sim_37,1429074873,1429074873,11315,vaccine_settings_37.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_37.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_37.csv,-1,routine,0.8916015625,1,0.8779296875,0.8779296875
sim_0038,sim_38,1042756850,1042756850,11315,vaccine_settings_38.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_38.csv,initial_foi_iquitos.csv,180,1,1,0.3,AegyptiPars_38.csv,-1,routine,0.1416015625,1,0.6279296875,0.6279296875
