SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,MosquitoRatesFile,AttractivenessShape,vaccination_strategy,vaccine_prop_inf_1,vaccine_ID,vaccine_normdev_pos_1,vaccine_normdev_neg_1
sim_0,4527174,4527174,11315,vaccine_settings_0.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_0.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_0.csv,-1,routine,0.2509765625,1,0.3623046875,0.3623046875
sim_1,777164787,777164787,11315,vaccine_settings_1.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_1.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_1.csv,-1,routine,0.7509765625,1,0.8623046875,0.8623046875
sim_2,1163483593,1163483593,11315,vaccine_settings_2.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_2.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_2.csv,-1,routine,0.0009765625,1,0.6123046875,0.6123046875
sim_3,390845980,390845980,11315,vaccine_settings_3.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_3.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_3.csv,-1,routine,0.5009765625,1,0.1123046875,0.1123046875
sim_4,584005383,584005383,11315,vaccine_settings_4.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_4.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_4.csv,-1,routine,0.1259765625,1,0.9873046875,0.9873046875
sim_5,1356642996,1356642996,11315,vaccine_settings_5.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_5.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_5.csv,-1,routine,0.6259765625,1,0.4873046875,0.4873046875
sim_6,970324190,970324190,11315,vaccine_settings_6.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_6.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_6.csv,-1,routine,0.3759765625,1,0.2373046875,0.2373046875
sim_7,197686577,197686577,11315,vaccine_settings_7.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_7.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_7.csv,-1,routine,0.8759765625,1,0.7373046875,0.7373046875
sim_8,294266279,294266279,11315,vaccine_settings_8.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_8.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_8.csv,-1,routine,0.0634765625,1,0.0498046875,0.0498046875
sim_9,1066903891,1066903891,11315,vaccine_settings_9.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_9.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_9.csv,-1,routine,0.5634765625,1,0.5498046875,0.5498046875
