NewSimName,SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,MosquitoRatesFile,AttractivenessShape,vaccination_strategy,vaccine_prop_inf_1,vaccine_ID,vaccine_normdev_pos_1,vaccine_normdev_neg_1
sim_0000,sim_0,4527705,4527705,11315,vaccine_settings_0.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_0.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_0.csv,-1,routine,0.2509765625,1,0.3623046875,0.3623046875
sim_0001,sim_1,777255955,777255955,11315,vaccine_settings_1.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_1.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_1.csv,-1,routine,0.7509765625,1,0.8623046875,0.8623046875
sim_0002,sim_2,1163620080,1163620080,11315,vaccine_settings_2.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_2.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_2.csv,-1,routine,0.0009765625,1,0.6123046875,0.6123046875
sim_0003,sim_3,390891830,390891830,11315,vaccine_settings_3.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_3.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_3.csv,-1,routine,0.5009765625,1,0.1123046875,0.1123046875
sim_0004,sim_4,584073893,584073893,11315,vaccine_settings_4.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_4.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_4.csv,-1,routine,0.1259765625,1,0.9873046875,0.9873046875
sim_0005,sim_5,1356802143,1356802143,11315,vaccine_settings_5.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_5.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_5.csv,-1,routine,0.6259765625,1,0.4873046875,0.4873046875
sim_0006,sim_6,970438018,970438018,11315,vaccine_settings_6.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_6.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_6.csv,-1,routine,0.3759765625,1,0.2373046875,0.2373046875
sim_0007,sim_7,197709768,197709768,11315,vaccine_settings_7.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_7.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_7.csv,-1,routine,0.8759765625,1,0.7373046875,0.7373046875
sim_0008,sim_8,294300799,294300799,11315,vaccine_settings_8.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_8.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_8.csv,-1,routine,0.0634765625,1,0.0498046875,0.0498046875
sim_0009,sim_9,1067029049,1067029049,11315,vaccine_settings_9.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_9.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_9.csv,-1,routine,0.5634765625,1,0.5498046875,0.5498046875
sim_0010,sim_10,1453393174,1453393174,11315,vaccine_settings_10.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_10.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_10.csv,-1,routine,0.3134765625,1,0.7998046875,0.7998046875
sim_0011,sim_11,680664924,680664924,11315,vaccine_settings_11.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_11.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_11.csv,-1,routine,0.8134765625,1,0.2998046875,0.2998046875
sim_0012,sim_12,487482861,487482861,11315,vaccine_settings_12.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_12.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_12.csv,-1,routine,0.4384765625,1,0.6748046875,0.6748046875
sim_0013,sim_13,1260211111,1260211111,11315,vaccine_settings_13.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_13.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_13.csv,-1,routine,0.9384765625,1,0.1748046875,0.1748046875
sim_0014,sim_14,873846986,873846986,11315,vaccine_settings_14.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_14.csv,initial_foi_iquitos.csv,686,1,1,0.1,AegyptiPars_14.csv,-1,routine,0.1884765625,1,0.4248046875,0.4248046875
