NewSimName,SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,MosquitoRatesFile,AttractivenessShape,vaccination_strategy,vaccine_prop_inf_4,vaccine_ID,vaccine_efficacy_mean,vaccine_efficacy_serotype,vaccine_efficacy_serostatus
sim_0000,sim_0,4527695,4527695,11315,vaccine_settings_0.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_0.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_0.csv,-1,routine,0.2509765625,4,0.40361328125,0.022705078125,0.134326171875
sim_0001,sim_1,777254149,777254149,11315,vaccine_settings_1.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_1.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_1.csv,-1,routine,0.7509765625,4,0.75361328125,0.097705078125,0.059326171875
sim_0002,sim_2,1163617376,1163617376,11315,vaccine_settings_2.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_2.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_2.csv,-1,routine,0.0009765625,4,0.57861328125,0.060205078125,0.021826171875
sim_0003,sim_3,390890922,390890922,11315,vaccine_settings_3.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_3.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_3.csv,-1,routine,0.5009765625,4,0.22861328125,0.135205078125,0.096826171875
sim_0012,sim_12,487481728,487481728,11315,vaccine_settings_12.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_12.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_12.csv,-1,routine,0.4384765625,4,0.62236328125,0.107080078125,0.087451171875
sim_0013,sim_13,1260208182,1260208182,11315,vaccine_settings_13.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_13.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_13.csv,-1,routine,0.9384765625,4,0.27236328125,0.032080078125,0.012451171875
sim_0014,sim_14,873844955,873844955,11315,vaccine_settings_14.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_14.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_14.csv,-1,routine,0.1884765625,4,0.44736328125,0.144580078125,0.049951171875
sim_0015,sim_15,101118501,101118501,11315,vaccine_settings_15.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_15.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_15.csv,-1,routine,0.6884765625,4,0.79736328125,0.069580078125,0.124951171875
sim_0020,sim_20,728958745,728958745,11315,vaccine_settings_20.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_20.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_20.csv,-1,routine,0.3447265625,4,0.25048828125,0.064892578125,0.045263671875
sim_0021,sim_21,1501685199,1501685199,11315,vaccine_settings_21.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_21.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_21.csv,-1,routine,0.8447265625,4,0.60048828125,0.139892578125,0.120263671875
sim_0022,sim_22,1115321972,1115321972,11315,vaccine_settings_22.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_22.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_22.csv,-1,routine,0.0947265625,4,0.77548828125,0.027392578125,0.082763671875
sim_0023,sim_23,342595518,342595518,11315,vaccine_settings_23.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_23.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_23.csv,-1,routine,0.5947265625,4,0.42548828125,0.102392578125,0.007763671875
sim_0024,sim_24,246004711,246004711,11315,vaccine_settings_24.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_24.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_24.csv,-1,routine,0.4072265625,4,0.73173828125,0.149267578125,0.035888671875
sim_0025,sim_25,1018731165,1018731165,11315,vaccine_settings_25.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_25.csv,initial_foi_iquitos.csv,686,1,1,0.3,AegyptiPars_25.csv,-1,routine,0.9072265625,4,0.38173828125,0.074267578125,0.110888671875
