SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,MosquitoRatesFile,AttractivenessShape,vaccination_strategy,vaccine_prop_inf_4,vaccine_ID,vaccine_efficacy_mean,vaccine_efficacy_serotype,vaccine_efficacy_serostatus
sim_0,4527858,4527858,11315,vaccine_settings_0.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_0.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_0.csv,-1,routine,0.2509765625,4,0.40361328125,0.022705078125,0.134326171875
sim_1,777282244,777282244,11315,vaccine_settings_1.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_1.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_1.csv,-1,routine,0.7509765625,4,0.75361328125,0.097705078125,0.059326171875
sim_2,1163659436,1163659436,11315,vaccine_settings_2.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_2.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_2.csv,-1,routine,0.0009765625,4,0.57861328125,0.060205078125,0.021826171875
sim_3,390905051,390905051,11315,vaccine_settings_3.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_3.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_3.csv,-1,routine,0.5009765625,4,0.22861328125,0.135205078125,0.096826171875
sim_4,584093647,584093647,11315,vaccine_settings_4.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_4.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_4.csv,-1,routine,0.1259765625,4,0.84111328125,0.003955078125,0.003076171875
sim_5,1356848033,1356848033,11315,vaccine_settings_5.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_5.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_5.csv,-1,routine,0.6259765625,4,0.49111328125,0.078955078125,0.078076171875
sim_6,970470840,970470840,11315,vaccine_settings_6.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_6.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_6.csv,-1,routine,0.3759765625,4,0.31611328125,0.041455078125,0.115576171875
sim_7,197716455,197716455,11315,vaccine_settings_7.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_7.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_7.csv,-1,routine,0.8759765625,4,0.66611328125,0.116455078125,0.040576171875
sim_8,294310753,294310753,11315,vaccine_settings_8.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_8.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_8.csv,-1,routine,0.0634765625,4,0.18486328125,0.088330078125,0.068701171875
sim_9,1067065138,1067065138,11315,vaccine_settings_9.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_9.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_9.csv,-1,routine,0.5634765625,4,0.53486328125,0.013330078125,0.143701171875
sim_10,1453442331,1453442331,11315,vaccine_settings_10.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_10.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_10.csv,-1,routine,0.3134765625,4,0.70986328125,0.125830078125,0.106201171875
sim_11,680687946,680687946,11315,vaccine_settings_11.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_11.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_11.csv,-1,routine,0.8134765625,4,0.35986328125,0.050830078125,0.031201171875
sim_12,487499349,487499349,11315,vaccine_settings_12.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_12.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_12.csv,-1,routine,0.4384765625,4,0.62236328125,0.107080078125,0.087451171875
sim_13,1260253735,1260253735,11315,vaccine_settings_13.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_13.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_13.csv,-1,routine,0.9384765625,4,0.27236328125,0.032080078125,0.012451171875
sim_14,873876542,873876542,11315,vaccine_settings_14.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_14.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_14.csv,-1,routine,0.1884765625,4,0.44736328125,0.144580078125,0.049951171875
sim_15,101122156,101122156,11315,vaccine_settings_15.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_15.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_15.csv,-1,routine,0.6884765625,4,0.79736328125,0.069580078125,0.124951171875
sim_16,149419306,149419306,11315,vaccine_settings_16.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_16.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_16.csv,-1,routine,0.2197265625,4,0.51298828125,0.046142578125,0.101513671875
sim_17,922173691,922173691,11315,vaccine_settings_17.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_17.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_17.csv,-1,routine,0.7197265625,4,0.16298828125,0.121142578125,0.026513671875
sim_18,1308550884,1308550884,11315,vaccine_settings_18.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_18.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_18.csv,-1,routine,0.4697265625,4,0.33798828125,0.008642578125,0.064013671875
sim_19,535796498,535796498,11315,vaccine_settings_19.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_19.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_19.csv,-1,routine,0.9697265625,4,0.68798828125,0.083642578125,0.139013671875
sim_20,728985095,728985095,11315,vaccine_settings_20.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_20.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_20.csv,-1,routine,0.3447265625,4,0.25048828125,0.064892578125,0.045263671875
sim_21,1501739480,1501739480,11315,vaccine_settings_21.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_21.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_21.csv,-1,routine,0.8447265625,4,0.60048828125,0.139892578125,0.120263671875
sim_22,1115362287,1115362287,11315,vaccine_settings_22.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_22.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_22.csv,-1,routine,0.0947265625,4,0.77548828125,0.027392578125,0.082763671875
sim_23,342607902,342607902,11315,vaccine_settings_23.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_23.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_23.csv,-1,routine,0.5947265625,4,0.42548828125,0.102392578125,0.007763671875
sim_24,246013604,246013604,11315,vaccine_settings_24.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_24.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_24.csv,-1,routine,0.4072265625,4,0.73173828125,0.149267578125,0.035888671875
sim_25,1018767989,1018767989,11315,vaccine_settings_25.txt,.,reporting.txt,disease_rates.csv,Locations20160720.csv,trajectories_31.txt,birthdeath.csv,daily_foi_25.csv,initial_foi_iquitos.csv,686,1,1,0.5,AegyptiPars_25.csv,-1,routine,0.9072265625,4,0.38173828125,0.074267578125,0.110888671875
